set	topic	title	good	bad	doc1	doc1keys1	doc1keys2	doc1keys	doc2	doc2keys1	doc2keys2	doc2keys	doc3	doc3keys1	doc3keys2	doc3keys	doc4	doc4keys1	doc4keys2	doc4keys	doc5	doc5keys1	doc5keys2	doc5keys
636	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0016-24-11190	"lawyercom, group, calendar, medical, best"	"marketing, services, software, direct, email"	2	clueweb09-en0017-78-09756	"card, account, email, address, free"	"vane, break, wedding, lyric, spring"	1	clueweb09-en0018-62-24223	"card, email, birthday, search, free"	"health, 1a, insurance, prk, newspaper"	1	clueweb09-en0019-98-20916	"anonymous, email, free, directory, service"	"browser, education, main, map, super"	1	clueweb09-en0022-92-10504	"email, marketing, direct, software, free"	"calendarcom, entertainment, popstarcom, hotel, deals"	1
637	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0025-32-02790	"videocamere, societa, gamecube, acquisto, salute"	"elettronica, mail, email, posta, gratis"	2	clueweb09-en0025-43-31896	"uniti, regno, copyright, unito, svezia"	"software, address, email, free, la"	2	clueweb09-en0025-56-38495	"email, anonymous, posta, elettronica, indirizzo"	"182903, 23012009, riservati, parziale, riproduzione"	1	clueweb09-en0025-56-38518	"pasqua, vietata, parziale, 23012009, anche"	"posta, free, elettronica, email, mail"	2	clueweb09-en0028-13-14784	"translations, images, regal, soup, virus"	"free, yahoo, email, address, marketing"	2
638	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0031-23-28488	"memails, links, email, free, web"	"menu, player, place, optimization, mobile"	1	clueweb09-en0031-95-07392	"ecom, solutions, marketing, email, tracking"	"cheap, asiacom, find, best, flight"	1	clueweb09-en0033-39-23387	"internet, ws, apache, 225, experience"	"address, email, free, card, web"	2	clueweb09-en0036-40-00915	"lawyercom, news, group, entertainment, solutions"	"search, address, free, email, account"	2	clueweb09-en0038-94-42358	"hosting, memails, email, free, links"	"addme, day, copyright2008, match, place"	1
639	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0040-28-25337	"readymade, bulk, works, ates, marketing"	"email, mail, services, free, hotmail"	2	clueweb09-en0045-85-30930	"email, web, memails, links, internet"	"optimization, net, addme, classifieds, match"	1	clueweb09-en0045-85-30936	"mail, hosting, internet, email, memails"	"technology, course, directory, usa, options"	1	clueweb09-en0050-35-04140	"popstarcom, doctorcom, calendar, lawyercom, leading"	"free, marketing, direct, email, services"	2	clueweb09-en0050-98-07204	"main, finance, trade, dump, auctions"	"email, free, directory, search, uk"	2
640	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0052-49-40064	"address, email, lookup, free, software"	"ad, allegati, scherzi, hoomail, password"	1	clueweb09-en0052-91-37548	"vietata, milano, dolci, vienna, universit"	"directory, free, elettronica, email, mail"	2	clueweb09-en0053-45-26067	"gratis, elettronica, email, indirizzi, posta"	"generata, tipici, prodotti, monitor, tutti"	1	clueweb09-en0057-38-06682	"people, free, directory, inam, email"	"calendarcom, advice, york, scheduling, doctorcom"	1	clueweb09-en0057-64-00368	"engines, online, graphics, directory, free"	"informal, original, raining, weird, romance"	1
641	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0060-24-13652	"yorkinfocom, llc, group, find, consumer"	"email, software, tracking, marketing, inam"	2	clueweb09-en0062-17-02013	"vacanze, vietata, 053412, plotter, fotocamere"	"elettronica, free, posta, email, indirizzi"	2	clueweb09-en0063-88-45638	"january, topica, middle, 25, airplane"	"directory, uk, email, kingdom, addresses"	2	clueweb09-en0064-32-08939	"services, free, address, email, google"	"hotel, calendar, news, consumer, celebrity"	1	clueweb09-en0069-90-18626	"great, orders, emaildirectory, reserved, copyright"	"people, finder, directory, search, email"	2
642	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0071-38-07956	"ecom, marketing, inam, email, tracking"	"calendarcom, yorkinfocom, group, advice, york"	1	clueweb09-en0072-81-35155	"tracking, account, ecom, email, free"	"city, llc, find, lawyercom, best"	1	clueweb09-en0074-01-01527	"szigg, response, left, net, match"	"web, email, memails, free, links"	2	clueweb09-en0076-92-21669	"llc, restaurant, calendar, city, calendarcom"	"software, email, marketing, solutions, tracking"	2	clueweb09-en0078-10-18842	"campaign, email, free, marketing, direct"	"2008, asia, restaurant, doctorcom, best"	1
643	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0079-02-29584	"include, vacations, 2008, llc, asia"	"email, marketing, inam, software, tracking"	2	clueweb09-en0081-68-39919	"free, email, posta, account, elettronica"	"salute, bellezza, ufficio, cucina, 082106"	1	clueweb09-en0085-38-07446	"ecom, email, software, tracking, marketing"	"legal, include, find, llc, flight"	1	clueweb09-en0085-64-00417	"reverse, reserved, lookup, phone, copyright"	"free, find, email, directory, services"	2	clueweb09-en0087-44-34529	"intro, response, szigg, net, classifieds"	"email, memails, links, web, internet"	2
644	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0087-92-14574	"tracking, marketing, software, email, inam"	"flight, asiacom, calendar, medical, cheap"	1	clueweb09-en0098-44-02746	"1netmarket, healthy, ezines, linking, employment"	"web, service, site, email, free"	2	clueweb09-en0099-80-30546	"lawyercom, york, cheap, vacations, find"	"email, inam, advertising, direct, marketing"	2	clueweb09-en0100-42-33076	"advertising, direct, email, services, marketing"	"consumer, doctorcom, solutions, calendar, entertainment"	1	clueweb09-en0102-92-36346	"doctorcom, lawyercom, llc, solutions, legal"	"direct, advertising, marketing, services, email"	2
645	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0104-34-35599	"diritti, fotocamere, riproduzione, disclaimer, vino"	"account, email, free, elettronica, posta"	2	clueweb09-en0104-97-14507	"ap, free, address, email, directory"	"carries, emailaddresses, providers, reviews, copyright"	1	clueweb09-en0106-59-33376	"restaurant, tours, flight, lawyercom, best"	"advertising, email, direct, marketing, free"	2	clueweb09-en0117-79-25712	"free, card, gate, email, address"	"ho, comcast, sound, ya, opt"	1	clueweb09-en0119-12-33639	"free, directory, email, business, account"	"advice, asia, calendar, deals, news"	1
662	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0000-00-06277	"90, 88, additions, disease, wart"	"malignant, carcinoma, special, cell, skin"	2	clueweb09-en0000-44-00331	"squamous, esophageal, esophagus, normal, carcinoma"	"carcinomainsitu, 100x, x4, uchc, gm"	1	clueweb09-en0000-44-00335	"cell, renal, diseases, carcinoma, pelvis"	"papillary, uchc, renal, searchno, transitional"	1	clueweb09-en0000-87-32551	"44, syndrome, modules, ulcerating, string"	"basal, images, carcinoma, search, cell"	2	clueweb09-en0001-20-18053	"type, bowen, carcinoma, disease, cell"	"slow, nordg, patch, psoriasis, precancerous"	1
663	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0001-87-23812	"blood, cells, animal, stem, white"	"rain, bartlett, sourceforge, nashwa, miyoshi"	1	clueweb09-en0002-02-32509	"emedtv, skin, squamous, cancer, cell"	"contact, physician, specific, followup, situation"	1	clueweb09-en0002-75-14790	"squamous, cell, university, hospital, carcinoma"	"volunteering, treatable, typically, lips, face"	1	clueweb09-en0003-25-14551	"carbon, cell, translate, car, carcinoma"	"rakovinn, fr3png, remove, 3n1n7fl, danish"	1	clueweb09-en0003-48-04964	"box, complete, policy, website, consultation"	"squamous, carcinoma, epithelial, terminal, cell"	2
664	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0005-42-18391	"decorative, copyright, bg, pa, small"	"cell, carcinoma, internet, square, squamous"	2	clueweb09-en0005-72-23203	"crz106b, tie2, crr105a, crs125b, tag"	"æg, cells, human, 250, sf9"	2	clueweb09-en0006-01-18292	"awosting, allamuchy, amsterdam, arneys, ardena"	"numbers, corner, cell, mills, phone"	2	clueweb09-en0006-25-40733	"phones, asus, cell, mobile, anzeigen"	"und, stellenangebote, headsetshandsets, organizers, gadgets"	1	clueweb09-en0006-66-24199	"centres, pigmented, ec, zemanet, string"	"carcinoma, skin, stic, cell, basal"	2
665	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0006-87-04567	"706, icd, squamous, code, carcinoma"	"accountant, belt, ic502, prostate, july"	1	clueweb09-en0008-20-30073	"jalbum, neurologia, ginecologia, 019, oncologia"	"celle, sv, ligure, xagena, 002"	2	clueweb09-en0008-94-27847	"select, birth, pressure, digestive, cholesterol"	"cell, cancers, upper, squamous, carcinoma"	2	clueweb09-en0009-07-29822	"dermatofibrosarcoma, basal, cell, melanoma, carcinoma"	"melton, xanthalesma, 19, updated, webercockayne"	1	clueweb09-en0009-20-02591	"cancer, skin, health, basal, div"	"infertility, headache, sclerosis, sleep, impotence"	1
666	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0009-20-02766	"kidney, sclerosis, headache, mental, epilepsy"	"cell, div, skin, cancer, develop"	2	clueweb09-en0010-79-08748	"cell, skin, cancer, basal, squamous"	"newsletters, laws, burns, abuse, fat"	1	clueweb09-en0010-99-20718	"style, wait, changing, cell, test"	"discarded, largest, tyle, correctly, append"	1	clueweb09-en0011-43-05004	"nose, loss, reserved, hard, educational"	"squamous, spread, cell, carcinoma, cases"	2	clueweb09-en0011-58-19946	"copyright, gas, keywordsuggestions, cards, mortgage"	"animal, plant, picture, cell, model"	2
667	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0011-69-30627	"cell, squamous, vocal, cord, carcinoma"	"t1, size, laryngeal, updated, eaten"	1	clueweb09-en0015-70-23033	"rights, york, story, yahoo, advertising"	"cancer, squamous, cell, carcinoma, types"	2	clueweb09-en0016-71-13483	"form, carcinom, sccsquam, progress, lips"	"squamous, cell, carcinoma, ulcer, epidermoid"	2	clueweb09-en0016-78-12213	"leak, obstruction, anastomotic, cystis, ce"	"cell, breast, squamous, carcinoma, ductal"	2	clueweb09-en0017-01-07787	"therapy, carcinoma, cell, cancer, treatment"	"watch, growing, chain, martinsenour, lee"	1
668	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0024-35-16641	"headache, stress, rheumatoid, prostate, transmitted"	"div, cell, treatment, cancer, skin"	2	clueweb09-en0024-35-16722	"stress, prostate, headache, disorders, stroke"	"div, cancer, skin, cell, squamous"	2	clueweb09-en0024-35-17665	"circulatory, rheumatoid, impotence, throat, headache"	"area, health, skin, cancer, div"	2	clueweb09-en0029-55-24965	"cell, carcinoma, skin, cancer, squamous"	"treated, properly, privacy, spread, aggressive"	1	clueweb09-en0029-80-01140	"dell, ri, chorea, synoma, rthle"	"carcinoma, squamous, basal, cell, renal"	2
669	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0029-80-22901	"carcinoma, squamous, cancer, cell, invasive"	"aggressive, muscle, intraluminal, ttf1, peritoneum"	1	clueweb09-en0030-74-31542	"cancer, carcinoma, cell, squamous, basal"	"omg, shopping, send, lift, ways"	1	clueweb09-en0032-80-25057	"skin, cancer, squamous, cell, basal"	"rights, button, featured, displaying, contact"	1	clueweb09-en0033-28-28998	"renal, carcinoma, squamous, cell, breast"	"adjunctive, ad, gary, grandular, micrographic"	1	clueweb09-en0035-18-32398	"carcinoma, squamous, skin, cell, ulcer"	"sign, progress, genitalia, carcin, necrosis"	1
670	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0036-17-25849	"beds, ear, tanning, sunlight, click"	"squamous, cancer, library, cell, carcinoma"	2	clueweb09-en0038-79-16748	"cell, skin, div, cancer, health"	"sclerosis, impotence, mental, glaucoma, disorders"	1	clueweb09-en0041-25-33163	"cell, carcinoma, squamous, malignant, cancer"	"una, preloader, items, 90, smb3"	1	clueweb09-en0043-01-26430	"treatment, pdfadobe, relation, ladies, escc"	"carcinoma, cell, cancer, oral, squamous"	2	clueweb09-en0043-70-26967	"york, calorie, 2009, rights, guide"	"squamous, form, cancer, cell, health"	2
671	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0044-67-03331	"eastern, feline, cell, squamous, carcinoma"	"hkimages2, angalina, cdm9500, katain, hellogoodbye"	1	clueweb09-en0046-45-17838	"200802, 200806, archive, telphone, 200810"	"carcinoma, cell, cancer, dballastages, squamous"	2	clueweb09-en0046-52-35527	"recognized, gl, jg, chronological, aging"	"cell, tumours, squamous, cancer, malignant"	2	clueweb09-en0047-78-26389	"intestinal, ureter, verrucous, urethral, princeton"	"carcinoma, cell, dictionary, squamous, differentiated"	2	clueweb09-en0053-82-13468	"cell, oncology, basal, cancer, carcinoma"	"cystic, rights, atlas, dermatology, answers"	1
672	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0054-05-02611	"surgical, 423, 424, 420, t4n2bm0"	"carcinoma, mouth, squamous, cell, lung"	2	clueweb09-en0054-43-08510	"ebv, lieomyo, hypercalcemia, doxorubicin, tratamiento"	"squamous, cell, stage, renal, carcinoma"	2	clueweb09-en0058-03-08556	"skin, squamous, cancer, cell, carcinoma"	"spinalioma, carcinom, lips, growth, carcin"	1	clueweb09-en0061-02-35235	"basal, rights, february, wordnet, ii"	"scc, esophageal, carcinoma, cell, stage"	2	clueweb09-en0061-89-05080	"privacy, events, topics, patent, rss"	"squamous, cell, treatment, skin, cancer"	2
673	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0065-60-28366	"cancer, skin, div, carcinoma, squamous"	"circulatory, impotence, transmitted, osteoarthritis, multiple"	1	clueweb09-en0071-20-09720	"squamous, video, cell, anal, carcinoma"	"nfdvjnfjvjf, persuade, bitches, security, offers"	1	clueweb09-en0071-83-18174	"breast, carcinoma, squamous, renal, cell"	"animals, squemus, hemorrhagic, inflamed, merkal"	1	clueweb09-en0077-35-35290	"cancer, cell, carcinoma, tumors, squamous"	"cheilitis, subclinical, eventually, represent, commonly"	1	clueweb09-en0077-35-35291	"carcinoma, basal, cell, cancer, tumors"	"diagnosis38788tt1a, govncipubs, dqscreening, medicine, dqsupportivecare"	1
674	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0080-42-04713	"prostate, sleep, reproductive, memory, stroke"	"cancer, health, skin, div, squamous"	2	clueweb09-en0080-42-04971	"circulatory, glaucoma, disorders, hair, mental"	"skin, cancer, carcinoma, squamous, div"	2	clueweb09-en0086-84-32785	"comparative, bevacizumab, bonneville, sensitivity, keratinizing"	"cell, carcinoma, renal, ductal, squamous"	2	clueweb09-en0089-16-11292	"skin, cancer, squamous, cell, carcinoma"	"rights, advertising, user, ethics, privacy"	1	clueweb09-en0096-43-31821	"428, t4n2bm0, 415, welldifferientiated, 429"	"cancer, treatment, carcinoma, squamous, cell"	2
675	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0102-46-30112	"cell, diagnosis, skin, aboutcom, cancer"	"news, privacy, york, reserved, add"	1	clueweb09-en0103-11-28379	"update, verrucous, prostate, 20012009, reserved"	"cancer, dictionary, cell, skin, carcinoma"	2	clueweb09-en0104-75-34311	"till, cancerbreakthroughs, 2006, shave, local"	"cancer, squamous, cell, skin, treated"	2	clueweb09-en0106-02-01565	"consultation, create, expressed, privacy, health"	"squamous, frankford, cell, carcinoma, hospitals"	2	clueweb09-en0106-61-14996	"differentiated, moderately, injuries, clear, age"	"disease, health, carcinoma, cell, squamous"	2
676	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0116-69-32886	"privacy, reprints, times, news, rss"	"cell, aboutcom, skin, diagnosis, cancer"	2	clueweb09-en0117-87-26327	"dictionary, squamous, thymus, carcinoma, cell"	"20012009, 2009, derived, basaloid, intestinal"	1	clueweb09-en0118-91-29598	"basal, skin, cell, carcinoma, cancer"	"zhl, describes, gnu, esophagus, browse"	1	clueweb09-en0121-76-34562	"transmitted, sleep, circulatory, lyme, hair"	"health, div, area, skin, cancer"	2	clueweb09-en0121-96-39275	"squamous, cell, carcinoma, skin, health"	"parts, online, generally, lips, arkansas"	1
677	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0125-37-01348	"squamous, cell, health, skin, carcinoma"	"submitted, disclaimer, oral, united, navigation"	1	clueweb09-en0129-79-25706	"variant, carcinoma, lung, squamous, cell"	"sarcomatoid, february, policy, wordnet, university"	1	clueweb09-enwp00-31-14777	"copyrights, trademark, 07, nederlands, 2008"	"skin, cell, bowen, disease, edit"	2	clueweb09-enwp00-34-06166	"carcinoma, tumor, basal, cell, treatment"	"documentation, 15, 2009, modified, copyrights"	1	clueweb09-enwp00-64-09676	"501, taxdeductible, modified, polski, license"	"squamous, tumor, cancer, carcinoma, cell"	2
710	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0000-21-19523	"kostenlosen, der, lineausschnitt, ausschnitt, munchen"	"german, translation, services, language, english"	2	clueweb09-en0000-89-10348	"french, english, translation, online, free"	"chinese, analyze, freetranslaon, dictionary, 000"	1	clueweb09-en0001-34-16471	"dtp, technical, german, translation, traduction"	"copyrights, interpr‚, ferdosigroup, tation, tradutores"	1	clueweb09-en0001-39-07874	"online, french, translation, english, free"	"afrikaans, fitzgerald, menina, deo, admonishing"	1	clueweb09-en0001-86-29205	"bcdk, 31, bogelskere, joys, christian"	"danish, english, german, members, translator"	2
711	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0001-89-32957	"french, english, translation, software, free"	"targeted, unclaimed, price, funds, distance"	1	clueweb09-en0002-42-11020	"german, language, native, translation, lyric"	"site, map, 422, reading, website"	1	clueweb09-en0003-07-26869	"waukegan, cart, dallas, norton, consumer"	"sentence, english, free, translation, french"	2	clueweb09-en0003-09-02538	"translation, german, english, sp, free"	"ready, pany, australia, allows, nto"	1	clueweb09-en0003-22-21117	"portuguese, spanish, english, dutch, french"	"2008, unauthorized, rights, entertainment, subject"	1
712	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0003-25-12947	"reserved, report, contact, original, copyright"	"english, form, dictionary, free, translate"	2	clueweb09-en0003-25-13404	"directly, human, policy, click, terms"	"english, dictionary, translate, alphabet, russian"	2	clueweb09-en0003-25-13675	"dictionary, reference, translate, chinese, english"	"contact, report, terms, sense, firefox"	1	clueweb09-en0003-25-18135	"subscribe, plugin, directly, report, privacy"	"dictionary, english, translate, free, rye"	2	clueweb09-en0003-26-31507	"view, 12, click, price, 1st"	"translation, english, download, german, french"	2
713	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0003-42-31317	"uk, free, translation, english, french"	"29, england, 1662, customers, 44"	1	clueweb09-en0003-51-19315	"english, dictionary, translation, italian, french"	"questa, arabic, access, versione, 2003"	1	clueweb09-en0003-58-16649	"language, english, spanish, german, french"	"text, ital, russian, solo, debes"	1	clueweb09-en0003-61-07264	"relevant, privacy, faq, ads, advice"	"german, french, english, spanish, translation"	2	clueweb09-en0003-62-05343	"language, fire, translation, german, english"	"policy, kunden, privacy, fluss, click"	1
714	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0004-04-21248	"fund, compania, cost, tona, blanca"	"english, translation, french, free, spanish"	2	clueweb09-en0004-29-30550	"german, geschftsstelle, free, office, translation"	"italian, arab, swiss, emirates, ufficio"	1	clueweb09-en0004-36-28080	"day, terms, approach, friendly, principles"	"dutch, german, english, italian, translation"	2	clueweb09-en0004-43-09756	"choose, couk, rates, albany, 303"	"french, translate, english, chinese, bulgarian"	2	clueweb09-en0004-82-00739	"traduttore, enjoy, sitemap, traduction, possibilities"	"terms, english, german, language, translation"	2
715	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0004-93-06777	"spanish, services, creole, french, translation"	"romansch, serbian, sesotho, setswana, shikomoro"	1	clueweb09-en0005-03-08272	"7634256, gold, bundles, ph, 775"	"english, translation, russian, language, software"	2	clueweb09-en0005-19-02460	"latest, xactive, unsubscribe, request, username"	"portuguese, german, french, form, english"	2	clueweb09-en0005-74-19630	"translation, german, web, french, english"	"accented, characters, accomplished, simplified, schedule"	1	clueweb09-en0005-84-15448	"french, 1250, translate, english, portuguese"	"12mar2006, 5955, pst, document, cursor"	1
716	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0006-00-26928	"703, keyboard, 1050, amazing, teaches"	"folder, english, file, download, translation"	2	clueweb09-en0006-36-32237	"pair, google, learn, email, slovenian"	"french, english, translate, spanish, form"	2	clueweb09-en0006-72-40177	"portuguese, english, spanish, german, french"	"russian, japanese, korean, translationcom, type"	1	clueweb09-en0007-06-14205	"french, language, english, win, translation"	"internet, exefind, click, software, paste"	1	clueweb09-en0007-09-14849	"german, form, french, english, spanish"	"add, translated, nichts, web, ich"	1
717	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0007-19-26174	"translation, traduction, voice, interpreting, german"	"traduzioni, 2003, traduttore, vertalen, interpr‚"	1	clueweb09-en0007-79-03044	"german, site, translator, english, love"	"famfamfam, icons, google, terms, css"	1	clueweb09-en0007-86-38016	"form, transfer, master, visa, order"	"spanish, arabic, arabicarabic, translation, interpretation"	2	clueweb09-en0008-43-30210	"australia, email, 6715, updated, john"	"spanish, dictionaries, translates, italian, english"	2	clueweb09-en0008-48-09452	"includes, poetry, bilingual, games, dictionary"	"dutch, french, english, portuguese, german"	2
718	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0008-58-32738	"polizeikommissars, infos, achse, oder, trauma"	"german, law, transblawg, english, translator"	2	clueweb09-en0008-70-22220	"translation, latin, language, english, farsi"	"company, tswana, web, freelancer, venda"	1	clueweb09-en0009-07-06297	"chineseturkish, sitemap, traduction, questa, italiano"	"origin, language, english, services, translations"	2	clueweb09-en0009-27-08701	"spanish, slovenian, korean, swedish, copyright"	"translation, services, english, german, quote"	2	clueweb09-en0009-63-22300	"chines, company, localization, translation, locatran"	"deliver, attach, carefully, experience, leverage"	1
719	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0009-79-21433	"french, italian, 1250, english, translate"	"popup, modified, org, order, move"	1	clueweb09-en0009-84-01422	"legal, abroad, wel, interpreting, site"	"translation, language, english, second, german"	2	clueweb09-en0010-28-20904	"english, afrikaans, translation, free, form"	"korean, slovene, spanish, traditional, taiwanese"	1	clueweb09-en0010-28-20906	"english, esperantoenglish, translation, esperanta, esperanto"	"filipino, latin, turkish, dutch, korean"	1	clueweb09-en0010-63-07409	"tools, oysterman, rodrigostrj, jp, ukff"	"documents, services, free, professional, translation"	2
720	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0010-63-37964	"global, powerpoint, major, questions, indiana"	"german, translation, website, english, pricing"	2	clueweb09-en0011-58-19034	"dictionary, translation, free, french, english"	"blogs, keywordsuggestions, aishwarya, passwords, 2008"	1	clueweb09-en0011-73-26067	"english, translation, afrikaans, vertaling, engels"	"russian, vietnamese, italian, romanian, hungarian"	1	clueweb09-en0011-73-26071	"afrikaans, engels, english, translation, free"	"swedish, russian, romanian, latvian, slovenian"	1	clueweb09-en0012-23-14963	"documents, technical, english, translation, german"	"20012009, 26, 2008, 30, google"	1
721	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0012-36-23790	"english, pricing, examples, translation, german"	"internettranexpcom, desktop, send, language, valuable"	1	clueweb09-en0013-15-24553	"translation, language, english, german, french"	"remember, gir, spanishparagraph, lost, find"	1	clueweb09-en0015-61-19529	"westbury, wallpapers, time, loritab, supporting"	"english, translation, german, spanish, services"	2	clueweb09-en0018-23-21149	"translation, german, english, free, dictionary"	"tuchemnitz, proverbs, vice, park, poppens"	1	clueweb09-en0019-83-03146	"wordzone, hebrew, time, order, keyboard"	"italian, translate, portuguese, english, language"	2
722	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0021-80-26425	"time, reserved, sitemap, skills, swedish"	"english, translation, tool, study, language"	2	clueweb09-en0024-02-08094	"etiquette, similarity, courses, quizzes, interesting"	"will, german, translation, english, kwintessential"	2	clueweb09-en0024-38-04569	"english, translation, services, french, operations"	"brasil, facebook, norsk, del, svenska"	1	clueweb09-en0026-91-02155	"8746, no5089552, japanese, sitemap, accredited"	"german, interpreting, services, english, translation"	2	clueweb09-en0027-68-27567	"spanish, english, language, german, translate"	"http123language, deep, garian, default, ectaco"	1
723	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0027-68-27789	"translation, english, german, professional, french"	"command, time, system, exclusively, 0017446041107178"	1	clueweb09-en0030-10-07923	"femine, freudehersteller, enlglish, norweigian, erin"	"german, translate, english, spanish, language"	2	clueweb09-en0030-88-22103	"german, language, online, translation, free"	"patent, york, rights, agreement, times"	1	clueweb09-en0032-79-06658	"2004, report, andromeda, product, untergang"	"spanish, free, services, english, translation"	2	clueweb09-en0033-53-04558	"improve, execution, bsgtranslations, brazilian, orgnewstranindex"	"french, english, spanish, german, translate"	2
